PartID,Color,FirstWord,CAS,PricePerGB,TotalCapacity,DDR,MHz,Count,Capacity
894d1df8-0087-44ba-9752-29b38f9bbcb2,Black / Yellow,10.0,16.0,2.499,16,4,3200,2,8
07cb8c6e-4cad-4d82-bfba-3daf94bedd54,Black,12.857,36.0,2.968,32,5,5600,2,16
8bb3bf5a-809d-47d1-93b2-88793b8a79c1,Black,10.0,18.0,2.968,32,4,3600,2,16
b6f9724e-ef53-4d31-97d6-3fd69b8c94d9,Black / Yellow,10.0,18.0,2.187,32,4,3600,2,16
4c595690-6bed-4324-abce-f75ef2fc0055,Black,12.0,36.0,3.031,32,5,6000,2,16
a87f7482-bb47-4323-9e93-a233942bd473,Black / Silver,10.0,32.0,3.281,64,5,6400,2,32
a7f12e58-d99d-4f69-a79c-d437e9bd14c3,White,12.0,36.0,3.156,32,5,6000,2,16
054792a0-1d63-49ac-bb65-7bb24f720c00,Black,10.0,16.0,3.374,16,4,3200,2,8
e0db004b-cda4-4022-afeb-525fcd6f8c10,Black,12.0,36.0,2.968,32,5,6000,2,16
fddc42c8-ddfb-4d4e-b34e-56d4ebe672c6,Black,10.0,30.0,3.031,32,5,6000,2,16
9df7f1dc-0f19-4ca1-9078-df9c21b81dd3,Black,10.0,16.0,1.812,32,4,3200,2,16
9c798f97-d563-44a3-937a-cc07fcb8a384,Black / Gray,10.0,16.0,1.873,16,4,3200,2,8
7d391cd1-4da4-4c0b-884e-14f81fd01261,White / Black,10.0,18.0,2.499,32,4,3600,2,16
bf73ed13-c737-4925-85e0-82b822a94ad3,Black,13.333,40.0,3.218,32,5,6000,2,16
c1486120-1224-43f9-adfb-b6550fd74454,Black,10.0,18.0,2.499,16,4,3600,2,8
f4e86d6d-a5b1-4ed8-bfb9-abe27f69f47f,Black,10.0,32.0,3.437,32,5,6400,2,16
200069f2-82e4-477f-93ce-402f4de6dd10,Black,12.0,36.0,2.718,32,5,6000,2,16
28561216-d619-4b00-8c94-e69aa6a1e951,Black,10.0,16.0,1.499,32,4,3200,2,16
4ddb3db5-e7d6-4751-aa55-b8e07990424e,Black,10.0,30.0,3.593,32,5,6000,2,16
1fbf7e0f-fd6f-4a61-b4a3-91b31301727b,Black,8.889,16.0,2.749,16,4,3600,2,8
5ae7fa69-cca6-477d-a1b4-8abac5ac9c43,Black,8.75,14.0,30.276,64,4,3200,4,16
