PartID,Size,Color,RPM_Min,RPM_Max,NoiseLevel_Min,NoiseLevel_Max
49507680-d4af-4346-a839-ea5dbef280bb,,Black,1400.0,1400.0,,
62180622-533c-4b20-8de6-b48631891935,360.0,Black,500.0,2250.0,28.2,32.9
8ce7c7b5-54a2-4e30-9d72-b9842665633f,,Black,400.0,2000.0,16.3,22.8
9d392777-df17-48fa-a7db-92a6a8b78ad0,240.0,Black,500.0,1800.0,17.9,30.6
e99d2b76-20c2-464f-9235-e6bf59510ff1,,Black,800.0,1700.0,30.8,30.8
866ef1d9-b743-4bb2-b9ba-3777678e529f,,,450.0,1850.0,16.8,23.9
8d93e716-04d3-4eec-9aaf-75599e0a0c89,360.0,White,500.0,2250.0,32.9,32.9
217a1ee2-06b7-4f0a-8425-da36e44bf3ca,,Black,500.0,1850.0,25.9,31.5
ea4c45dd-4004-4618-9a84-fb43ab235ee3,360.0,Black,600.0,2200.0,36.45,36.45
759572b6-0055-4001-9c7a-08f1218d4e34,360.0,White / Black,500.0,1500.0,22.0,33.0
15fcceec-395e-44fd-ab91-ba3ba4825dd2,,Black,300.0,1500.0,19.2,24.6
0254d583-14e2-49f0-b4b5-ba023b7ab960,360.0,White,2100.0,2100.0,29.0,29.0
9d28f2a8-de68-4928-a2b7-2f5eebc0b5a7,240.0,Black,2400.0,2400.0,10.0,37.0
e32a4d24-35ff-4c75-bcd2-ef1b61578195,240.0,White / Black,650.0,1800.0,8.0,27.0
1e60c860-9676-4e4a-b7eb-b3f349bbf299,240.0,Black,500.0,2000.0,14.3,34.3
fa41ca49-9a30-4faf-9004-8bc72bfe9a8e,360.0,Black,650.0,1800.0,8.0,27.0
ce7a80fe-3a96-44b2-a8ae-e796827b150c,,White,500.0,1500.0,13.8,30.5
30dccc46-9e5d-467f-9248-61ed51c1739c,360.0,Black,2100.0,2100.0,29.0,29.0
7858d228-ad4d-4f39-9a5f-35940171ef71,280.0,Black,500.0,2000.0,21.0,38.0
407cf741-ac1c-468d-b97c-ecb4eb86ad43,360.0,White,500.0,2250.0,32.9,32.9
f77f07eb-f45c-40de-be8a-401f51b44ed3,360.0,Black,480.0,2400.0,,
c15bcf4f-cb79-4c73-ad38-5ec935cdd5b4,,Black,500.0,1700.0,22.6,29.3
fee0e2b3-277e-461e-8b35-7c9b4559fe7d,360.0,Black,2300.0,3000.0,32.1,39.9
6034a092-a9a3-4f5e-96e9-e395d2981e02,,White / Black,200.0,2100.0,24.4,24.4
153b1af5-5cd4-4670-aa0c-90349fd7e351,,,600.0,2500.0,14.8,23.6
b8ec23aa-6857-43ba-bbb4-21c05bb9b1ec,,Black / Silver,200.0,1500.0,4.0,28.6
ac9775e3-31cf-4ef3-8f43-1c72b7a03d08,,Gray / Silver,450.0,1700.0,25.1,25.1
c78bbf46-917e-4d69-960f-5a0feb3323e9,240.0,Black,500.0,2000.0,21.0,36.0
82c39352-00c3-413b-aba2-af2881c3c962,,Black / Silver,1500.0,1500.0,25.6,25.6
5dab7d7f-d281-4b23-9744-c28575c3a0df,,Black / Silver,500.0,2000.0,31.6,31.6
3edcea19-2923-4a00-a9c7-9c391fbfd913,280.0,Black,500.0,1500.0,19.4,32.1
58759dcd-ee46-430d-b5be-5a937fe3de8c,,Brown,600.0,2500.0,14.8,23.6
f67f57c7-f850-425d-8c6b-a4e688377150,,Black,500.0,1650.0,28.0,28.0
48f51dda-1bb4-49e8-9c70-b2cadda76b1b,240.0,White,500.0,1800.0,17.9,30.6
4a22c427-a67a-4bc1-9e2f-82e2cf733f5e,420.0,Black,500.0,1700.0,5.0,33.8
e391fcae-79ec-4210-874b-c66f3c13486c,360.0,Black,450.0,2000.0,29.7,29.7
100dcafd-0a5b-45cb-b4d1-374d3c34e688,360.0,Black,,,,
d7f1812e-20a0-4e6c-b125-d7aa2821c6cd,240.0,Black,2000.0,2000.0,27.7,27.7
b2bcc673-212c-4f76-bc79-f5064bd639a5,,White,500.0,1800.0,17.2,27.5
5974cacb-348a-4a91-9b7a-9806c9129828,,Silver / Black,1500.0,1500.0,19.1,26.8
1a2b8a8a-68c0-4b55-9a66-6dcacd8d206e,240.0,Black,500.0,1500.0,22.0,33.0
fe191ea9-f3a3-4c76-8547-93d9909850bd,,Black,500.0,1850.0,28.0,28.0
b8f6679e-0eb9-4a4f-9eeb-ed7611c9a64d,360.0,Black,500.0,1800.0,17.9,30.6
a93091de-1aa5-4911-aa5e-cb224255c414,120.0,Black,500.0,2000.0,21.0,36.0
4e532eab-26de-461f-bde5-4c893983a900,360.0,Black,800.0,2500.0,37.6,37.6
800207dd-4e88-4e66-893b-1799bae77b9f,,Black,500.0,1800.0,17.2,27.5
ca15c6b5-ecce-489a-9899-ceefa365b25a,,Beige / Brown,450.0,2000.0,18.8,22.6
65079346-88ed-4e33-ba29-0c5d271cde71,,,400.0,2000.0,16.3,22.8
c0219162-f3b7-4692-91b7-d527e5c46bd9,,Brown,450.0,2000.0,18.8,22.6
49a551e4-f3e0-41fd-8234-a8d530442333,280.0,Black / Silver,800.0,1600.0,16.8,32.6
d3d4ced9-3f43-4409-b2ec-ada181c96664,240.0,Black,650.0,1800.0,8.0,27.0
1b2ade73-2249-41ee-ac9d-e463e5e21708,240.0,Black,550.0,2300.0,36.0,36.0
541caa26-8333-444a-8b8d-b90e237606c5,,White,800.0,1700.0,30.8,30.8
56b4d4c9-09bf-4eae-8a8c-ae49029bae75,360.0,Black,2000.0,2000.0,27.7,27.7
25417071-e7d8-444a-ba8b-72a30f87176e,,,2600.0,2600.0,22.2,22.2
3e7b4403-ea64-4fe4-b2b6-b6a7d3c7ef72,240.0,Black / Gray,200.0,1800.0,22.5,22.5
0bddff7f-c06a-4c82-9c6a-5290776417d0,360.0,Black,,,22.7,22.7
fb138534-d52d-4816-a22d-03f69628b6fe,,Black,650.0,2050.0,27.0,27.0
c18c48c8-f5ef-4acc-a87c-899902520fc4,360.0,Black,550.0,2300.0,36.0,36.0
8bc721c1-9044-4175-bfbc-4bb8092d3154,,Black,,,7.9,24.4
644dbe7b-78dc-404f-9319-18fdb2117d5d,,Black / White,300.0,2000.0,22.5,22.5
c5666b76-fef5-489a-ab14-f932663fbd72,,Black,600.0,2500.0,14.8,23.6
56f8fe43-14a5-4ad8-90fd-ac4d207e2cfb,360.0,White,2000.0,2000.0,27.7,27.7
9223ff55-601b-419d-b68c-f828116c03c4,240.0,White / Silver,800.0,1900.0,32.0,32.0
e8b811a1-f3e3-4779-a8dc-a5dd06917e26,240.0,White,500.0,2250.0,32.9,32.9
8a883e89-0705-447c-9ff8-291ab83607e2,420.0,Black,200.0,1900.0,22.5,22.5
5cc85ae6-c2c1-4aa2-abac-e384e1635873,360.0,White,500.0,2250.0,28.2,32.9
ae124078-15b3-4942-a4a9-a09744a472af,,Black,800.0,1800.0,25.0,25.0
3e398158-d634-4844-85e9-69c905f4415d,280.0,White,500.0,1500.0,34.48,34.48
feb4c2f8-d27d-49fc-9cd6-739fb6f14095,,,300.0,1500.0,18.6,22.4
0c8b3edb-7903-4a44-ad92-63cc0520ed7e,360.0,Black,450.0,2000.0,10.0,30.4
cb6ace1b-c283-4284-a824-e8f67e3a4f32,360.0,Black,500.0,2000.0,14.3,34.3
3445e304-c091-4222-b354-7ee81a7bf58a,280.0,Black,200.0,1900.0,22.5,22.5
8953e4d9-3246-48f5-81bd-d5e78d89202c,240.0,Black,,,19.0,39.5
fc70d353-eb2a-4a36-82d1-0b03d3bba043,240.0,Black,500.0,2250.0,32.9,32.9
028aefb0-c87b-4602-9bc5-0cdba9a96346,,Black,600.0,1500.0,28.9,28.9
5fc6a453-02c5-48dc-af1f-839d18169dac,240.0,Black,500.0,2000.0,21.0,36.0
aead260e-ad5d-46bd-8290-6e81a0c7378c,360.0,Black,500.0,2000.0,14.3,34.3
e27d5863-18cf-4853-8abd-33abde123e63,,Black / Silver,1550.0,1550.0,25.6,25.6
6cddca04-0b83-4ad4-976a-07eb0425a356,,White / Silver,1550.0,1550.0,25.6,25.6
5047e07e-b665-4f64-8a99-cef0212e0c69,360.0,Black,,,19.8,40.5
deeb75af-05ee-4c1d-9f24-e4c99da2b088,420.0,Black,400.0,1600.0,10.0,31.8
c353ef97-f980-43fa-a2cb-da4de53ce7e3,,Black,500.0,2000.0,31.2,31.2
592c3c68-d837-403e-92d1-3310ff681381,,Gray,2700.0,2700.0,22.4,22.4
77a796e1-02c0-47db-8c57-7ffc488d0170,360.0,Black,350.0,1750.0,27.2,27.2
73c2b0e1-2c76-48c9-a5d4-2f791e1f6f36,,Black,500.0,1850.0,28.0,28.0
3250b52b-e2f9-45ca-8876-b5b28304c367,280.0,Black,400.0,1600.0,19.0,35.8
7d271fc7-75f3-4aa5-97be-dbfe787123c8,,Black / Silver,900.0,2400.0,17.8,32.5
6812a4ea-cc7c-4bdf-b77e-304066d94e3f,360.0,Black,2450.0,2450.0,35.4,35.4
a3298fe2-4c35-4c3c-a194-0852761a0764,,Black,1800.0,1800.0,26.92,26.92
2b8d2852-19e0-4d51-9f06-83c97f08758d,,White,500.0,2000.0,31.6,31.6
0c6b75a0-b76e-452f-99ec-cc798de02cf5,,White / Gray,200.0,2100.0,24.4,24.4
631730d3-5253-40a2-b581-5fcd431b7966,,White,1550.0,1550.0,25.6,25.6
cd4fd9e1-8b2f-4068-8599-d8ce332988c7,240.0,,650.0,2000.0,6.0,30.0
