PartID,FormFactor,StorageBays,Color,SidePanel,Size,PSU
f39c63a3-bbbd-407c-a9f0-36d1fdbb4e92,ATX Full Tower,6,Black,Tempered Glass,81.8,
0a6fc245-029c-440b-8210-78b7b27760e0,ATX Mid Tower,1,Black,Tempered Glass,49.7,
28a41219-ff89-43a9-8d62-313c7ed750d9,ATX Mid Tower,2,White,Tempered Glass,,
228e7f29-156d-4406-9bdf-afe2cd2f6826,MicroATX Mid Tower,2,White,Tempered Glass,36.5,
262027f2-711e-4870-aadc-8b43940a1aed,ATX Mid Tower,2,Black / Red,Tempered Glass,37.7,
0d848fa9-499c-4ce8-b2a7-4324a8962f59,ATX Full Tower,2,Black / Silver,Tempered Glass,129.5,
078a6350-3c65-41ad-81ed-4bf1fddf700a,ATX Mid Tower,2,White,Tempered Glass,,
ba68a84d-26f4-4c93-94fb-be4fa3acd9d2,ATX Mid Tower,2,Black,Tinted Tempered Glass,69.8,
8f25109e-9146-4d13-81fc-a5c9497e3c90,ATX Mid Tower,2,Black,Mesh,45.1,
64eb2ab6-0fc9-4f0a-9b6d-efc97d23eae3,ATX Mid Tower,2,White,Tempered Glass,55.8,
d9908a73-5408-4c63-823c-48593d59a445,ATX Mid Tower,2,Black,Tempered Glass,,
5319ec63-a1ad-4090-99c0-8e79483c518a,ATX Mid Tower,2,Black,Tempered Glass,,
809152a1-ea26-49d8-8bf0-dd2f3ac3571e,ATX Mid Tower,1,Black,Tempered Glass,47.0,
2586f517-4d31-4ff7-9ee9-721d19fc0a3a,MicroATX Mini Tower,2,Black,Tempered Glass,31.6,
b7b86df4-eadc-47c6-b13f-1d3c616051b8,ATX Mid Tower,1,White,Tempered Glass,47.0,
37752af8-cc00-4305-8f2c-605a602fec2f,MicroATX Mini Tower,2,Black,Tempered Glass,,
956a1ee0-3b05-478b-92a3-e19b07f26e1b,ATX Mid Tower,4,Black,Tempered Glass,65.5,
65f2d582-2e86-47f6-837c-61f74125f54b,ATX Mid Tower,2,Black,Acrylic,38.4,
2f644ad7-ddab-485e-bcf6-be2465d35d02,Mini ITX Desktop,0,Black,Mesh,11.1,
b430db54-31b0-4ca2-81ec-8dab5f3a1cf6,Mini ITX Desktop,2,White / Black,Tempered Glass,20.3,
5afbeab4-3b7f-486e-aacd-a3b38c6b5d7f,MicroATX Mini Tower,2,Black,Tempered Glass,40.5,
