PartID,Price,Manufacturer,Model
5ba7bbe6-a921-4bcf-b185-ce30d8f9292e,14.0,Intel,Celeron E1400
df8e11c4-5a96-4f23-9561-51ec0934f674,136.99,Intel,Core i3-13100
d5b61d32-b333-4ae5-b6ef-71c4697159ce,230.0,Intel,Core i5-9600K
59b0138b-99a3-426c-acb9-cd86c3637cd8,214.99,AMD,Ryzen 5 2600X
bc9c8add-feb3-4fea-8d59-1a0ecfd98c3f,168.99,Intel,Core i5-10600K
23c29c50-41eb-432a-ab87-f55e2014d883,85.99,AMD,Ryzen 3 3100
a92ec777-e42d-49d6-b711-4f45693a14ff,199.98,Intel,Core i7-10700F
4aedc414-37a5-44cb-a48f-20ed4db3dfda,139.99,Intel,Core i5-10400
564cb9a4-7363-41ba-bc96-7633cf0891aa,418.98,Intel,Core i9-12900KS
76a33f9c-9d78-43bd-a2e8-b83a578cf076,2300.98,AMD,Threadripper 3970X
365be1df-c529-432e-8376-961e78328361,120.0,AMD,Ryzen 5 3400G
26fcf887-c941-4c93-bb36-78aeb69a334d,288.88,Intel,Core i9-10850K
179e2330-d30b-4fa2-931d-778d7652d211,160.0,Intel,Core i5-8400
56442fe4-8462-4b97-90de-52eac698ba1e,296.0,Intel,Core i7-8700
05204963-a064-4693-89db-c97e247cdda9,77.0,Intel,Core i3-10105F
829d516a-09b6-4b38-9e72-b181670febeb,298.99,Intel,Core i7-12700
aa0a6ba8-0637-45c0-abae-d508beb66ec3,224.99,Intel,Core i7-11700
f1e12454-5123-44ee-b57e-c788fb659e3b,562.99,Intel,Core i9-13900
80ae8954-7b23-49cd-a424-22d96b92fc3d,611.0,AMD,Ryzen 9 3950X
fa4085ad-2054-4ecf-8ce7-a737da968962,189.0,AMD,Ryzen 5 1600 (14nm)
f9ce3327-be34-4fe0-ae43-cbebcbb8f52f,149.99,Intel,Core i5-11400
c69a8e94-d9ad-4a04-b715-aa83078c58db,116.47,Intel,Core i5-6500
e6d5f77a-df77-4d82-9c8d-a5e76b1ada33,146.0,Intel,Core i5-6600K
52ddf3c3-72a4-4351-9394-babbaecd7ef5,225.0,Intel,Core i7-7700
cd29e4bb-9271-42a8-8827-b8baa69523ee,211.82,Intel,Core i7-11700F
9950d64a-46a1-4b1a-aedf-7307e8d461c9,210.0,Intel,Core i7-6700
20d461dd-a6b6-4c77-837c-34fd7ebabe07,2660.0,Intel,Xeon E5-2687W V4
39e38ada-8490-48b6-bded-ca1dc4481993,107.61,Intel,Core i3-10100
b7eaf8ca-d56f-417a-a005-93ebce199c1a,185.0,AMD,Ryzen 7 2700
0f4b5dac-f435-4a0a-8b6b-43100d0c9f57,75.98,Intel,Core i5-7400
d1f2c7f6-ade2-4958-a560-cd544801499e,329.26,Intel,Core i9-9900KF
d1fa2a47-3b36-41e4-9af4-5d525e3829ef,90.0,Intel,Core i5-4690K
ac5dc9bd-26b8-4a26-b091-90854e69c8c9,120.0,Intel,Core i7-3770
34352c4a-876a-4af0-a455-248d581792e1,75.0,Intel,Core i7-4770
89414f99-c97a-41a4-be4c-d8becb56666b,247.63,Intel,Core i7-10700
700c0e46-4231-49f8-8655-a06ca502658d,1450.0,AMD,Threadripper 3960X
7ecce4d3-c8c2-45ce-911e-ffd6805f745a,270.0,Intel,Core i7-11700KF
c9c56898-95b5-4e4e-b8a8-4845731086f2,140.0,AMD,Ryzen 5 1600 (12nm)
