PartID,CoreClock,BoostClock,Memory,Chipset,Length,Color,TDP,ChipsetID
771bdc37-7ed9-452f-9c8e-1ef07841294c,1575.0,1815.0,8.0,GeForce RTX 3070 Ti,300.0,Black,290.0,21
b518047e-1725-41da-be07-d2d099820904,1626.0,2491.0,8.0,Radeon RX 6600,193.0,Black / Red,,7
de572855-007b-4b1e-a0e0-2a84cdac01ae,1530.0,1815.0,6.0,GeForce GTX 1660 SUPER,204.0,Black / Silver,125.0,22
f98055d0-d401-49f7-b593-2b3ee9605389,1830.0,,8.0,GeForce RTX 4060,281.0,White,,15
47245b75-d5f7-46d2-a8a3-7398c7f48455,2235.0,2595.0,24.0,GeForce RTX 4090,348.0,Black,,8
8cbf8d49-fdba-4732-9f97-97206c1a5dcd,2310.0,2655.0,12.0,GeForce RTX 4070 Ti,308.0,Silver / Black,,4
dc2a6a09-ae13-4a19-9324-5c097ccc9c57,2050.0,,8.0,Arc A750,250.0,Black,,23
b2768746-c163-418e-a5cc-cb5abef930cf,1365.0,1710.0,6.0,GeForce RTX 2060,190.0,Black,160.0,24
06372d2c-30e0-45a7-8563-9ab75a2682f7,2150.0,2623.0,12.0,Radeon RX 6750 XT,327.0,Silver / Black,,20
a9cb88d2-5fc9-4559-b482-7b2bb1b1816a,1500.0,1815.0,8.0,GeForce RTX 3070,286.0,Black / Silver,220.0,25
8559a7ae-5cbb-449d-9403-1fd209c135d4,2205.0,2610.0,16.0,GeForce RTX 4080,337.0,Black,,17
0985e61c-8006-4602-a4a7-d5a7dd43e1c3,1410.0,1710.0,8.0,GeForce RTX 3060 Ti,230.0,Black,200.0,11
647b42bf-ffed-4f7c-a4d7-495ffa79ee44,1875.0,2655.0,8.0,Radeon RX 7600,241.0,Black,,26
dadca0ca-22f4-4c77-945f-f0e5150be4e9,2235.0,2535.0,24.0,GeForce RTX 4090,356.0,Black / Silver,,8
7c5d8bb4-4f1e-42f4-9a77-982bfa2546d9,2520.0,2535.0,24.0,GeForce RTX 4090,342.0,Silver / White,,8
a79e74d3-2206-48af-bea3-1be3f6a9552d,2300.0,2500.0,24.0,Radeon RX 7900 XTX,325.0,Black / Silver,,9
fca6c056-8d3b-4106-bf86-a4e09cac61fd,1575.0,1770.0,8.0,GeForce RTX 3070 Ti,318.0,Black,290.0,21
20ffeea8-ffc1-40c4-925b-a536fafc709e,1320.0,1807.0,12.0,GeForce RTX 3060 12GB,224.0,Black,,1
d456257e-ae52-435b-a454-8f946ef7410f,1320.0,1792.0,12.0,GeForce RTX 3060 12GB,198.0,Black,,1
923958fd-cb6b-4d67-9c3d-f2126b12cad6,1825.0,2250.0,16.0,Radeon RX 6800 XT,340.0,Black,300.0,6
4a81bd53-e6d3-4d4c-86a4-7543c5186f3c,2310.0,2595.0,16.0,GeForce RTX 4060 Ti,281.0,Black,,13
f926dad9-fa77-4759-9ba5-f54ad0c33cfc,1500.0,1785.0,8.0,GeForce RTX 3070 LHR,291.0,Black,,27
dd08edd1-ac2e-40f7-9656-9f9b8b78a786,2310.0,2625.0,12.0,GeForce RTX 4070 Ti,307.0,Black,,4
1f6247fd-c801-4740-9e39-39be2767bc02,1410.0,1785.0,8.0,GeForce RTX 3060 Ti,302.0,Black,200.0,11
25a6cdd5-119a-47d7-9c34-b9f71881b042,2000.0,2535.0,20.0,Radeon RX 7900 XT,344.0,Black / Silver,,16
11d5b9bb-5c19-426d-896c-460b377e6826,1830.0,,8.0,GeForce RTX 4060,192.0,Black,,15
ede7793a-0cd8-436c-839f-d12611b627b5,2310.0,2595.0,8.0,GeForce RTX 4060 Ti,227.0,Black,,13
76a043d1-3142-44c6-8d51-11ac63ae59a1,1410.0,1620.0,4.0,GeForce GTX 1650 G6,179.0,Black / Silver,,28
12c42a74-d111-41aa-8f40-efe12f225397,1320.0,1837.0,12.0,GeForce RTX 3060 12GB,280.0,Silver / Black,,1
a88a8480-276c-4d29-aa41-b00e22659548,2205.0,2535.0,16.0,GeForce RTX 4080,342.0,White,,17
b7ee0248-05b1-48a4-ba63-79b53a5233a5,2310.0,2640.0,12.0,GeForce RTX 4070 Ti,336.0,Black,,4
b0c8546d-bb7f-496e-b235-a53221fdd477,2205.0,2655.0,16.0,GeForce RTX 4080,358.0,Black / Red,,17
